word,meaning,status,lessonNumber,tags,partOfSpeech,audioWordFilename,audioMeaningFilename,pinyin,source,notes
a,a,new,1,reading;Anna;clip-pack;green-eggs-starter,,audio/words/anne-soft-female-v2/a.mp3,audio/words/anne-soft-female-v2/a.mp3,,Green Eggs and Ham starter words,Starter sight word set
am,am,new,1,reading;Anna;clip-pack;green-eggs-starter,,audio/words/anne-soft-female-v2/am.mp3,audio/words/anne-soft-female-v2/am.mp3,,Green Eggs and Ham starter words,English reading deck
and,and,new,1,reading;Anna;clip-pack;green-eggs-starter,,audio/words/anne-soft-female-v2/and.mp3,audio/words/anne-soft-female-v2/and.mp3,,Green Eggs and Ham starter words,English reading deck
anywhere,anywhere,new,1,reading;Anna;clip-pack;green-eggs-starter,,audio/words/anne-soft-female-v2/anywhere.mp3,audio/words/anne-soft-female-v2/anywhere.mp3,,Green Eggs and Ham starter words,Starter sight word set
are,are,new,1,reading;Anna;clip-pack;green-eggs-starter,,audio/words/anne-soft-female-v2/are.mp3,audio/words/anne-soft-female-v2/are.mp3,,Green Eggs and Ham starter words,Starter sight word set
be,be,new,1,reading;Anna;clip-pack;green-eggs-starter,,audio/words/anne-soft-female-v2/be.mp3,audio/words/anne-soft-female-v2/be.mp3,,Green Eggs and Ham starter words,Starter sight word set
boat,boat,new,1,reading;Anna;clip-pack;green-eggs-starter,,audio/words/anne-soft-female-v2/boat.mp3,audio/words/anne-soft-female-v2/boat.mp3,,Green Eggs and Ham starter words,English reading deck
box,box,new,1,reading;Anna;clip-pack;green-eggs-starter,,audio/words/anne-soft-female-v2/box.mp3,audio/words/anne-soft-female-v2/box.mp3,,Green Eggs and Ham starter words,English reading deck
car,car,new,1,reading;Anna;clip-pack;green-eggs-starter,,audio/words/anne-soft-female-v2/car.mp3,audio/words/anne-soft-female-v2/car.mp3,,Green Eggs and Ham starter words,English reading deck
could,could,new,1,reading;Anna;clip-pack;green-eggs-starter,,audio/words/anne-soft-female-v2/could.mp3,audio/words/anne-soft-female-v2/could.mp3,,Green Eggs and Ham starter words,Starter sight word set
dark,dark,new,2,reading;Anna;clip-pack;green-eggs-starter,,audio/words/anne-soft-female-v2/dark.mp3,audio/words/anne-soft-female-v2/dark.mp3,,Green Eggs and Ham starter words,English reading deck
do,do,new,2,reading;Anna;clip-pack;green-eggs-starter,,audio/words/anne-soft-female-v2/do.mp3,audio/words/anne-soft-female-v2/do.mp3,,Green Eggs and Ham starter words,Starter sight word set
eat,eat,new,2,reading;Anna;clip-pack;green-eggs-starter,,audio/words/anne-soft-female-v2/eat.mp3,audio/words/anne-soft-female-v2/eat.mp3,,Green Eggs and Ham starter words,Starter sight word set
eggs,eggs,new,2,reading;Anna;clip-pack;green-eggs-starter,,audio/words/anne-soft-female-v2/eggs.mp3,audio/words/anne-soft-female-v2/eggs.mp3,,Green Eggs and Ham starter words,Starter sight word set
fox,fox,new,2,reading;Anna;clip-pack;green-eggs-starter,,audio/words/anne-soft-female-v2/fox.mp3,audio/words/anne-soft-female-v2/fox.mp3,,Green Eggs and Ham starter words,English reading deck
